127.0.0.1 - - [30/Oct/2015:23:06:36 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:08:38 -0400] "GET /Library/Library.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:08:40 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:09:11 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5857
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:09:21 -0400] "GET /Library/Publications.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:09:38 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 500 4594
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:13:47 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 500 3579
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:14:23 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 500 3579
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:15:28 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:17:00 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1235 HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:17:10 -0400] "GET /Library/GetBookDetails?ISBN=ISBN2222 HTTP/1.1" 500 4821
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:19:30 -0400] "GET /Library/GetBookDetails?ISBN=ISSN9876 HTTP/1.1" 500 4821
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:20:13 -0400] "GET /Library/Publications.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:21:55 -0400] "GET /Library/Publications.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:22:15 -0400] "GET /Library/GetBookDetails?ISBN=ISBN2222 HTTP/1.1" 500 4821
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:24:22 -0400] "GET /Library/GetBookDetails?ISBN=ISBN2222 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:25:40 -0400] "GET /Library/Publications.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:25:49 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:26:05 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:26:39 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1235 HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:27:43 -0400] "GET /Library/Publications.jsp HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:27:51 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1234 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [30/Oct/2015:23:33:28 -0400] "GET /Library/GetBookDetails?ISBN=ISBN1235 HTTP/1.1" 200 2002
